rho_de,rho_cp,alpha,gamma,epsilon,acc,prec,rec
100, 100, 0.01, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.01, 0.6, 0.01, 0.5652173913043478, 0.2222222222222222, 0.13333333333333333
100, 100, 0.01, 0.6, 0.05, 0.6382978723404256, 0.3333333333333333, 0.13333333333333333
100, 100, 0.01, 0.6, 0.1, 0.6595744680851063, 0.0, 0.0
100, 100, 0.01, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.01, 0.7, 0.01, 0.6521739130434783, 0.4, 0.2857142857142857
100, 100, 0.01, 0.7, 0.05, 0.6521739130434783, 0.0, 0.0
100, 100, 0.01, 0.7, 0.1, 0.6595744680851063, 0.0, 0.0
100, 100, 0.01, 0.7, 0.15, 0.723404255319149, 1.0, 0.13333333333333333
100, 100, 0.05, 0.5, 0.01, 0.6304347826086957, 0.2857142857142857, 0.14285714285714285
100, 100, 0.05, 0.5, 0.05, 0.7021276595744681, 0.6666666666666666, 0.13333333333333333
100, 100, 0.05, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
100, 100, 0.05, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.05, 0.6, 0.01, 0.6956521739130435, 0.5, 0.21428571428571427
100, 100, 0.05, 0.6, 0.05, 0.6808510638297872, 0.0, 0.0
100, 100, 0.05, 0.6, 0.1, 0.6808510638297872, 0.0, 0.0
100, 100, 0.05, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.05, 0.7, 0.01, 0.6739130434782609, 0.4444444444444444, 0.2857142857142857
100, 100, 0.05, 0.7, 0.05, 0.717391304347826, 1.0, 0.07142857142857142
100, 100, 0.05, 0.7, 0.1, 0.6956521739130435, 0.0, 0.0
100, 100, 0.05, 0.7, 0.15, 0.6595744680851063, 0.0, 0.0
100, 100, 0.1, 0.5, 0.01, 0.7391304347826086, 0.625, 0.35714285714285715
100, 100, 0.1, 0.5, 0.05, 0.6808510638297872, 0.5, 0.06666666666666667
100, 100, 0.1, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
100, 100, 0.1, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.1, 0.6, 0.01, 0.6444444444444445, 0.3333333333333333, 0.06666666666666667
100, 100, 0.1, 0.6, 0.05, 0.6956521739130435, 0.5, 0.07142857142857142
100, 100, 0.1, 0.6, 0.1, 0.6382978723404256, 0.0, 0.0
100, 100, 0.1, 0.6, 0.15, 0.7021276595744681, 1.0, 0.06666666666666667
100, 100, 0.1, 0.7, 0.01, 0.6382978723404256, 0.375, 0.2
100, 100, 0.1, 0.7, 0.05, 0.6956521739130435, 0.5, 0.07142857142857142
100, 100, 0.1, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
100, 100, 0.1, 0.7, 0.15, 0.723404255319149, 1.0, 0.13333333333333333
100, 250, 0.01, 0.5, 0.01, 0.8297872340425532, 0.7333333333333333, 0.7333333333333333
100, 250, 0.01, 0.5, 0.05, 0.7446808510638298, 0.6, 0.6
100, 250, 0.01, 0.5, 0.1, 0.7659574468085106, 0.5909090909090909, 0.8666666666666667
100, 250, 0.01, 0.5, 0.15, 0.7021276595744681, 0.5238095238095238, 0.7333333333333333
100, 250, 0.01, 0.6, 0.01, 0.7446808510638298, 0.6363636363636364, 0.4666666666666667
100, 250, 0.01, 0.6, 0.05, 0.6956521739130435, 0.5, 0.7142857142857143
100, 250, 0.01, 0.6, 0.1, 0.8043478260869565, 0.6875, 0.7333333333333333
100, 250, 0.01, 0.6, 0.15, 0.7446808510638298, 0.6, 0.6
100, 250, 0.01, 0.7, 0.01, 0.6739130434782609, 0.45454545454545453, 0.35714285714285715
100, 250, 0.01, 0.7, 0.05, 0.7021276595744681, 0.5263157894736842, 0.6666666666666666
100, 250, 0.01, 0.7, 0.1, 0.7446808510638298, 0.5789473684210527, 0.7333333333333333
100, 250, 0.01, 0.7, 0.15, 0.8085106382978723, 0.65, 0.8666666666666667
100, 250, 0.05, 0.5, 0.01, 0.6739130434782609, 0.4666666666666667, 0.5
100, 250, 0.05, 0.5, 0.05, 0.7872340425531915, 0.6470588235294118, 0.7333333333333333
100, 250, 0.05, 0.5, 0.1, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
100, 250, 0.05, 0.5, 0.15, 0.7446808510638298, 0.5789473684210527, 0.7333333333333333
100, 250, 0.05, 0.6, 0.01, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
100, 250, 0.05, 0.6, 0.05, 0.7021276595744681, 0.5238095238095238, 0.7333333333333333
100, 250, 0.05, 0.6, 0.1, 0.8297872340425532, 0.7333333333333333, 0.7333333333333333
100, 250, 0.05, 0.6, 0.15, 0.7659574468085106, 0.5909090909090909, 0.8666666666666667
100, 250, 0.05, 0.7, 0.01, 0.6595744680851063, 0.45454545454545453, 0.3333333333333333
100, 250, 0.05, 0.7, 0.05, 0.7021276595744681, 0.5263157894736842, 0.6666666666666666
100, 250, 0.05, 0.7, 0.1, 0.8723404255319149, 0.7647058823529411, 0.8666666666666667
100, 250, 0.05, 0.7, 0.15, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
100, 250, 0.1, 0.5, 0.01, 0.6304347826086957, 0.4, 0.42857142857142855
100, 250, 0.1, 0.5, 0.05, 0.7021276595744681, 0.5217391304347826, 0.8
100, 250, 0.1, 0.5, 0.1, 0.7446808510638298, 0.6, 0.6
100, 250, 0.1, 0.5, 0.15, 0.7659574468085106, 0.5909090909090909, 0.8666666666666667
100, 250, 0.1, 0.6, 0.01, 0.6956521739130435, 0.5, 0.7142857142857143
100, 250, 0.1, 0.6, 0.05, 0.8297872340425532, 0.7058823529411765, 0.8
100, 250, 0.1, 0.6, 0.1, 0.7021276595744681, 0.5238095238095238, 0.7333333333333333
100, 250, 0.1, 0.6, 0.15, 0.7446808510638298, 0.5882352941176471, 0.6666666666666666
100, 250, 0.1, 0.7, 0.01, 0.6595744680851063, 0.47058823529411764, 0.5333333333333333
100, 250, 0.1, 0.7, 0.05, 0.6808510638297872, 0.5, 0.7333333333333333
100, 250, 0.1, 0.7, 0.1, 0.7021276595744681, 0.5294117647058824, 0.6
100, 250, 0.1, 0.7, 0.15, 0.8297872340425532, 0.6842105263157895, 0.8666666666666667
100, 500, 0.01, 0.5, 0.01, 0.6170212765957447, 0.2857142857142857, 0.13333333333333333
100, 500, 0.01, 0.5, 0.05, 0.7446808510638298, 0.5555555555555556, 1.0
100, 500, 0.01, 0.5, 0.1, 0.8297872340425532, 0.6521739130434783, 1.0
100, 500, 0.01, 0.5, 0.15, 0.6382978723404256, 0.4666666666666667, 0.9333333333333333
100, 500, 0.01, 0.6, 0.01, 0.6382978723404256, 0.4166666666666667, 0.3333333333333333
100, 500, 0.01, 0.6, 0.05, 0.574468085106383, 0.42424242424242425, 0.9333333333333333
100, 500, 0.01, 0.6, 0.1, 0.5957446808510638, 0.4375, 0.9333333333333333
100, 500, 0.01, 0.6, 0.15, 0.723404255319149, 0.5357142857142857, 1.0
100, 500, 0.01, 0.7, 0.01, 0.7021276595744681, 0.5217391304347826, 0.8
100, 500, 0.01, 0.7, 0.05, 0.851063829787234, 0.6818181818181818, 1.0
100, 500, 0.01, 0.7, 0.1, 0.723404255319149, 0.5384615384615384, 0.9333333333333333
100, 500, 0.01, 0.7, 0.15, 0.7021276595744681, 0.5172413793103449, 1.0
100, 500, 0.05, 0.5, 0.01, 0.8222222222222222, 0.6875, 0.7857142857142857
100, 500, 0.05, 0.5, 0.05, 0.6808510638297872, 0.5, 1.0
100, 500, 0.05, 0.5, 0.1, 0.7021276595744681, 0.5172413793103449, 1.0
100, 500, 0.05, 0.5, 0.15, 0.6382978723404256, 0.4666666666666667, 0.9333333333333333
100, 500, 0.05, 0.6, 0.01, 0.6739130434782609, 0.5, 0.06666666666666667
100, 500, 0.05, 0.6, 0.05, 0.7446808510638298, 0.5714285714285714, 0.8
100, 500, 0.05, 0.6, 0.1, 0.6382978723404256, 0.4642857142857143, 0.8666666666666667
100, 500, 0.05, 0.6, 0.15, 0.723404255319149, 0.5357142857142857, 1.0
100, 500, 0.05, 0.7, 0.01, 0.6382978723404256, 0.4444444444444444, 0.5333333333333333
100, 500, 0.05, 0.7, 0.05, 0.8085106382978723, 0.625, 1.0
100, 500, 0.05, 0.7, 0.1, 0.7659574468085106, 0.5769230769230769, 1.0
100, 500, 0.05, 0.7, 0.15, 0.7021276595744681, 0.5172413793103449, 1.0
100, 500, 0.1, 0.5, 0.01, 0.6595744680851063, 0.47368421052631576, 0.6
100, 500, 0.1, 0.5, 0.05, 0.7446808510638298, 0.56, 0.9333333333333333
100, 500, 0.1, 0.5, 0.1, 0.7872340425531915, 0.6, 1.0
100, 500, 0.1, 0.5, 0.15, 0.7021276595744681, 0.5172413793103449, 1.0
100, 500, 0.1, 0.6, 0.01, 0.6808510638297872, 0.5, 0.4
100, 500, 0.1, 0.6, 0.05, 0.7021276595744681, 0.5185185185185185, 0.9333333333333333
100, 500, 0.1, 0.6, 0.1, 0.7021276595744681, 0.5172413793103449, 1.0
100, 500, 0.1, 0.6, 0.15, 0.6808510638297872, 0.5, 0.9333333333333333
100, 500, 0.1, 0.7, 0.01, 0.7021276595744681, 0.5238095238095238, 0.7333333333333333
100, 500, 0.1, 0.7, 0.05, 0.723404255319149, 0.5416666666666666, 0.8666666666666667
100, 500, 0.1, 0.7, 0.1, 0.7446808510638298, 0.5555555555555556, 1.0
100, 500, 0.1, 0.7, 0.15, 0.723404255319149, 0.5357142857142857, 1.0
250, 50, 0.01, 0.5, 0.01, 0.6818181818181818, 0.0, 0.0
250, 50, 0.01, 0.5, 0.05, 0.6808510638297872, 0.0, 0.0
250, 50, 0.01, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
250, 50, 0.01, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
250, 50, 0.01, 0.6, 0.01, 0.7021276595744681, 1.0, 0.06666666666666667
250, 50, 0.01, 0.6, 0.05, 0.6739130434782609, 0.0, 0.0
250, 50, 0.01, 0.6, 0.1, 0.6888888888888889, 0.0, 0.0
250, 50, 0.01, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
250, 50, 0.01, 0.7, 0.01, 0.6956521739130435, 0.0, 0.0
250, 50, 0.01, 0.7, 0.05, 0.6956521739130435, 0.0, 0.0
250, 50, 0.01, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
250, 50, 0.01, 0.7, 0.15, 0.6808510638297872, 0.0, 0.0
250, 50, 0.05, 0.5, 0.01, 0.6739130434782609, 0.0, 0.0
